Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url
709 Ducklow Street,Dwell,Anthem,Coquitlam,BC,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/coquitlam-bc/dwell,"From $699,900",1 - 3.5 bd,692 - 1713 SqFt,https://www.livabl.com/coquitlam-bc/dwell
588 Harrison Avenue,Botanica,Qualex-Landmark,Coquitlam,BC,Canada,,2026,Condos & Towns,,2026,,https://www.livabl.com/coquitlam-bc/botanica,Register Now,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/botanica
675 North Road,Band,"Townline, QuadReal Property Group and QuadReal",Coquitlam,BC,Canada,,2026,Condos & Towns,,2026,,https://www.livabl.com/coquitlam-bc/band,"From $682,900",1 - 3 bd,504 - 1190 SqFt,https://www.livabl.com/coquitlam-bc/band
633 Alderson Avenue,Salishan - Phase 1,Ledingham McAllister,Coquitlam,BC,Canada,,,Condos & Towns,,,,https://www.livabl.com/coquitlam-bc/salishan--phase-1,Register Now,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/salishan--phase-1
3420 Queenston Avenue,Amber Gate,JPS Developments,Coquitlam,BC,Canada,,2025,Townhomes,,2025,,https://www.livabl.com/coquitlam-bc/amber-gate,Register Now,3 - 4.5 bd,1145 - 1654 SqFt,https://www.livabl.com/coquitlam-bc/amber-gate
709 Regan Avenue,Burqville,Kadium Properties,Coquitlam,BC,Canada,,2025,Townhomes,,2025,,https://www.livabl.com/coquitlam-bc/burqville,"From $1,069,900",3 bd,1215 - 1477 SqFt,https://www.livabl.com/coquitlam-bc/burqville
3489 Baycrest Avenue,Baycrest West,Woodbridge Homes,Coquitlam,BC,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/coquitlam-bc/baycrest-west,Now Selling,2 - 4.5 bd,1346 - 2089 SqFt,https://www.livabl.com/coquitlam-bc/baycrest-west
623 Kemsley Avenue,Aavand,Canada West Group,Coquitlam,BC,Canada,,2025,Condos,,2025,,https://www.livabl.com/coquitlam-bc/aavand,"From $589,000",1 - 3 bd,559 - 990 SqFt,https://www.livabl.com/coquitlam-bc/aavand
633 Claremont Street,Komo,Strand,Coquitlam,BC,Canada,,2027,Condos & Towns,,2027,,https://www.livabl.com/coquitlam-bc/komo,Now Selling,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/komo
1306 Laval Square,Laval West Coquitlam,Domus Homes,Coquitlam,BC,Canada,,Now,Townhomes,,Now,,https://www.livabl.com/coquitlam-bc/laval-west-coquitlam,"From $299,500",Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/laval-west-coquitlam
612 Elmwood Street,Elmwood,Marcon,Coquitlam,BC,Canada,,2026,Condos,,2026,,https://www.livabl.com/coquitlam-bc/elmwood,"From $634,900",1 - 3 bd,393 - 1072 SqFt,https://www.livabl.com/coquitlam-bc/elmwood
720 Farrow Street,Smith & Farrow,Boffo Developments Ltd.,Coquitlam,BC,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/coquitlam-bc/smith--farrow1,"From $749,900",1 - 3.5 bd,614 - 1731 SqFt,https://www.livabl.com/coquitlam-bc/smith--farrow1
1045 Austin Avenue,The Heights on Austin- West Tower,Beedie Living,Coquitlam,BC,Canada,,2023,Condos & Towns,,2023,,https://www.livabl.com/coquitlam-bc/the-heights-on-austin-west-tower,"From $854,900",2 - 2.5 bd,773 - 972 SqFt,https://www.livabl.com/coquitlam-bc/the-heights-on-austin-west-tower
572 Rochester Avenue,Florin,Circadian Developments Ltd. and Allaire,Coquitlam,BC,Canada,,2025,"Condos, Towns & Singles",,2025,,https://www.livabl.com/coquitlam-bc/florin,Register Now,Floorplans coming soon bd,,https://www.livabl.com/coquitlam-bc/florin
209 Lebleu Street,Bastille,Porte Communities,Coquitlam,BC,Canada,,2024,Condos,,2024,,https://www.livabl.com/coquitlam-bc/bastille,"From $584,900",1 - 3 bd,466 - 948 SqFt,https://www.livabl.com/coquitlam-bc/bastille
3706 Cross Landing Southwest,Chappelle Gardens,Brookfield Residential,Edmonton,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/edmonton-ab/chappelle-gardens13,"From $397,500",3 bd,1420 - 2229 SqFt,https://www.livabl.com/edmonton-ab/chappelle-gardens13
3706 Cross Landing Southwest,Paisley,Brookfield Residential,Edmonton,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/edmonton-ab/paisley4,"From $405,400",3 bd,1420 - 2229 SqFt,https://www.livabl.com/edmonton-ab/paisley4
5173 Edgemont Boulevard Northwest,Parkland,Brookfield Residential,Edmonton,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/edmonton-ab/parkland3,"From $413,145",3 bd,1420 - 2229 SqFt,https://www.livabl.com/edmonton-ab/parkland3
5173 Edgemont Boulevard Northwest,Edgemont,Brookfield Residential,Edmonton,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/edmonton-ab/edgemont19,"From $403,659",3 bd,1420 - 2229 SqFt,https://www.livabl.com/edmonton-ab/edgemont19
2371 Chokecherry Close Southwest,The Orchards,Brookfield Residential,Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/the-orchards5,"From $298,865",2 - 3 bd,1032 - 2229 SqFt,https://www.livabl.com/edmonton-ab/the-orchards5
9712 224 Street Northwest,Secord Heights,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/secord-heights1,Now Selling,2 - 3 bd,1545 - 2469 SqFt,https://www.livabl.com/edmonton-ab/secord-heights1
11915 35 Avenue Southwest,Desrochers,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/desrochers4,"From $446,899.99",3 bd,1418 - 1551 SqFt,https://www.livabl.com/edmonton-ab/desrochers4
2110 201 Street Northwest,Stillwater by Mattamy Homes,Mattamy Homes Canada,Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/stillwater-by-mattamy-homes,"From $314,900",2 - 5 bd,1038 - 2864 SqFt,https://www.livabl.com/edmonton-ab/stillwater-by-mattamy-homes
5704 Lark Point Northwest,Kinglet,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/kinglet,"From $439,899.99",3 - 5 bd,1410 - 2635 SqFt,https://www.livabl.com/edmonton-ab/kinglet
Winterburn Rd NW & 124 Ave NW,Kinglet by Big Lake | By Anthem United,Anthem United,Edmonton,AB,Canada,,,Community,,,,https://www.livabl.com/edmonton-ab/kinglet-by-big-lake--by-anthem-united--mpc,"From $370,000",3 - 5 bd,,https://www.livabl.com/edmonton-ab/kinglet-by-big-lake--by-anthem-united--mpc
1419 29 Street Northwest,Laurel Crossing,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/laurel-crossing5,"From $724,900",3 bd,2431 SqFt,https://www.livabl.com/edmonton-ab/laurel-crossing5
1818 Erker Way Northwest,Edgemont East,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/edgemont-east3,"From $516,899.99",3 - 4 bd,1559 - 2063 SqFt,https://www.livabl.com/edmonton-ab/edgemont-east3
Edgemont Rd NW,Edgemont East,Qualico Communities and Cameron Communities,Edmonton,AB,Canada,,,Community,,,,https://www.livabl.com/edmonton-ab/edgemont-east--mpc,"From $516,899.99",3 - 4 bd,,https://www.livabl.com/edmonton-ab/edgemont-east--mpc
2656 194 Street Northwest,The Uplands at Riverview,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/the-uplands-at-riverview16,"From $569,899.99",3 bd,1830 - 2396 SqFt,https://www.livabl.com/edmonton-ab/the-uplands-at-riverview16
9387 Cooper Bend Southwest,Crimson in Creekwood Chappelle,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/crimson-in-creekwood-chappelle1,"From $399,900",3 bd,1398 - 1701 SqFt,https://www.livabl.com/edmonton-ab/crimson-in-creekwood-chappelle1
9949 222A Street Northwest,College Woods at Secord,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/edmonton-ab/college-woods-at-secord,"From $599,900",1 - 5 bd,1020 - 2635 SqFt,https://www.livabl.com/edmonton-ab/college-woods-at-secord
223 St NW,College Woods at Secord,,Edmonton,AB,Canada,,,,,,,https://www.livabl.com/edmonton-ab/college-woods-at-secord--mpc,"From $599,900",1 - 5 bd,,https://www.livabl.com/edmonton-ab/college-woods-at-secord--mpc
1607 14 Street Northwest,Aster,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/aster4,"From $485,091.09",3 bd,1410 - 1701 SqFt,https://www.livabl.com/edmonton-ab/aster4
17 St NW & 19 Ave,Aster,,Edmonton,AB,Canada,,,,,,,https://www.livabl.com/edmonton-ab/aster--mpc,"From $424,900",3 bd,,https://www.livabl.com/edmonton-ab/aster--mpc
17139 46 Street Northwest,Cy Becker,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/cy-becker10,"From $429,900",1 - 3 bd,1020 - 2263 SqFt,https://www.livabl.com/edmonton-ab/cy-becker10
19158 22A Avenue Northwest,Rivers Edge,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/rivers-edge6,"From $423,899.99",1 - 3 bd,920 - 2262 SqFt,https://www.livabl.com/edmonton-ab/rivers-edge6
15716 19 Avenue Southwest,Point at Glenridding Ravine,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/point-at-glenridding-ravine3,"From $469,899.99",3 bd,1180 - 2477 SqFt,https://www.livabl.com/edmonton-ab/point-at-glenridding-ravine3
1291 McConachie Boulevard Northwest,McConachie Heights,Sterling Homes (Edmonton),Edmonton,AB,Canada,,,Towns & Singles,,,,https://www.livabl.com/edmonton-ab/mcconachie-heights,"From $422,900",1 - 3 bd,1020 - 2477 SqFt,https://www.livabl.com/edmonton-ab/mcconachie-heights
6830 Knox Loop Southwest,Arbours of Keswick,Kanvi,Edmonton,AB,Canada,,,Single Family Homes,,,,https://www.livabl.com/edmonton-ab/arbours-of-keswick,"From $899,402",3 - 4 bd,2111 - 2598 SqFt,https://www.livabl.com/edmonton-ab/arbours-of-keswick
505 Highland Road West,SOHO,Losani Homes,Hamilton,ON,Canada,,,Condos,,,,https://www.livabl.com/hamilton-on/soho,Register Now,Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/soho
1809 Rymal Rd E,Central Park,Losani Homes,Stoney Creek,ON,Canada,,,Community,,,,https://www.livabl.com/hamilton-on/central-park--mpc,"From $1,949,900",Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/central-park--mpc
Rymal Road East & Fletcher Road,Summit Park,Multi-Area Developments Inc,Hamilton,ON,Canada,,2024,Towns & Singles,,2024,,https://www.livabl.com/hamilton-on/summit-park,"From $849,990",2 - 4 bd,1377 - 3410 SqFt,https://www.livabl.com/hamilton-on/summit-park
Lormont Boulevard,On the Ridge - Phase III,DeSantis Homes,Hamilton,ON,Canada,,2024,Townhomes,,2024,,https://www.livabl.com/hamilton-on/on-the-ridge--phase-iii,"From $894,900",3 - 4 bd,1765 - 2345 SqFt,https://www.livabl.com/hamilton-on/on-the-ridge--phase-iii
Mud Street West & First Road West,On the Ridge,Rosehaven Homes,Hamilton,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/hamilton-on/on-the-ridge4,Register Now,Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/on-the-ridge4
28 Mud St W,On The Ridge,,Hamilton,ON,Canada,,,,,,,https://www.livabl.com/hamilton-on/on-the-ridge--mpc,"From $894,900",Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/on-the-ridge--mpc
71 Rebecca Street,The Rebecca,Rosehaven Homes,Hamilton,ON,Canada,,,Condos,,,,https://www.livabl.com/hamilton-on/the-rebecca,Register Now,Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/the-rebecca
Hamilton,Livingway,DeSantis Homes,ON,,Canada,,,Townhomes,,,,https://www.livabl.com/hamilton-on/livingway,Register Now,Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/livingway
9179 Airport Road West,Mount Hope,Cachet Homes,Hamilton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/hamilton-on/mount-hope,"From $699,990",Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/mount-hope
First Road East & Green Mountain Road East,"Essence, Stoney Creek",DiCarlo Homes,Hamilton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/hamilton-on/essence-stoney-creek,Register Now,Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/essence-stoney-creek
112 King Street East,Royal Connaught,Valery Homes and Spallacci Homes,Hamilton,ON,Canada,,Now,Condos,,Now,,https://www.livabl.com/hamilton-on/royal-connaught,"From $1,355,880",2.5 bd,1443 SqFt,https://www.livabl.com/hamilton-on/royal-connaught
100 Watershore Drive,The Residences at Watershore,Marz Homes,Hamilton,ON,Canada,,2025,Single Family Homes,,2025,,https://www.livabl.com/hamilton-on/the-residences-at-watershore1,"From $1,500,000",2 - 4 bd,1674 - 3510 SqFt,https://www.livabl.com/hamilton-on/the-residences-at-watershore1
19 Picardy Drive,Peachy on the Mountain,New Horizon Development Group,Hamilton,ON,Canada,,2024,Townhomes,,2024,,https://www.livabl.com/hamilton-on/peachy-on-the-mountain,"From $684,000",3 bd,1407 SqFt,https://www.livabl.com/hamilton-on/peachy-on-the-mountain
19 Picardy Dr,Peachy Townhomes,New Horizon Development Group,Hamilton,ON,Canada,,,Community,,,,https://www.livabl.com/hamilton-on/peachy-townhomes--mpc,"From $684,000",3 bd,,https://www.livabl.com/hamilton-on/peachy-townhomes--mpc
65 Seabreeze Crescent,Seabreeze Estates,DeSantis Homes,Hamilton,ON,Canada,,2024,Single Family Homes,,2024,,https://www.livabl.com/hamilton-on/seabreeze-estates,"From $1,649,000",4 bd,3018 - 3698 SqFt,https://www.livabl.com/hamilton-on/seabreeze-estates
75 James Street South,75 James Condominiums - Phase 2,"Fengate, The Hi-Rise Group and Liuna",Hamilton,ON,Canada,,2026,Condos,,2026,,https://www.livabl.com/hamilton-on/75-james-condominiums--phase-2,"From the $400,000's",Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/75-james-condominiums--phase-2
2620 Binbrook Road,Heritage Place,Homes,Hamilton,ON,Canada,,Now,Condos,,Now,,https://www.livabl.com/hamilton-on/heritage-place,"From $574,990",2 bd,1215 - 1315 SqFt,https://www.livabl.com/hamilton-on/heritage-place
Upper Mount Albion Road & Highland Road West,Stoneywood Park,To,Hamilton,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/hamilton-on/stoneywood-park,Register Now,Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/stoneywood-park
Kingfisher Drive,Kingfisher Heights,Spallacci Homes,Hamilton,ON,Canada,,2024,Single Family Homes,,2024,,https://www.livabl.com/hamilton-on/kingfisher-heights,"From $999,990",3 bd,1464 - 1932 SqFt,https://www.livabl.com/hamilton-on/kingfisher-heights
1630 Main Street West,Sanders Garden Condos,Bloomfield Developments and Trolleybus Urban Development Inc,Hamilton,ON,Canada,,,Condos & Towns,,,,https://www.livabl.com/hamilton-on/sanders-garden-condos,Register Now,Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/sanders-garden-condos
185 Burke Street,Interlude Townhomes,New Horizon Development Group,Hamilton,ON,Canada,,2025,Townhomes,,2025,,https://www.livabl.com/hamilton-on/interlude-townhomes,"From $499,990",Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/interlude-townhomes
2750 King Street East,The Jackson,A. DeSantis DeVelopments Ltd.,Hamilton,ON,Canada,,Now,Condos,,Now,,https://www.livabl.com/hamilton-on/the-jackson,"From $829,900",2.5 bd,1264 SqFt,https://www.livabl.com/hamilton-on/the-jackson
235 Main Street West,APEX Condos,Coletara Development,Hamilton,ON,Canada,,,Condos,,,,https://www.livabl.com/hamilton-on/apex-condos,Register Now,Floorplans coming soon bd,,https://www.livabl.com/hamilton-on/apex-condos
415 Main Street West,Westgate on Main,Matrix Development Group,Hamilton,ON,Canada,,2023,Condos,,2023,,https://www.livabl.com/hamilton-on/westgate-on-main,"From $399,900",Studio - 2.5 bd,372 - 755 SqFt,https://www.livabl.com/hamilton-on/westgate-on-main
1531 Bleams Road,Wildflower Crossing,Mattamy Homes Canada,Kitchener,ON,Canada,,Now,Towns & Singles,,Now,,https://www.livabl.com/kitchener-on/wildflower-crossing,"From $1,265,990",4 bd,2666 SqFt,https://www.livabl.com/kitchener-on/wildflower-crossing
30 Francis Street South,TEK Tower Kitchener,"IN8 Developments, Westdale Properties and Harlo Capital",Kitchener,ON,Canada,,2025,Condos,,2025,,https://www.livabl.com/kitchener-on/tek-tower-kitchener,Register Now,1 - 2 bd,394 - 705 SqFt,https://www.livabl.com/kitchener-on/tek-tower-kitchener
235 Chapel Hill Drive,Doon's Crossing,Crescent Homes,Kitchener,ON,Canada,,Now,Towns & Singles,,Now,,https://www.livabl.com/kitchener-on/doons-crossing,"From $520,000",2 bd,824 - 1228 SqFt,https://www.livabl.com/kitchener-on/doons-crossing
1300 Lackner Boulevard,Lackner Ridge Townhomes,Calibrex Developments and Reid's Heritage Homes,Kitchener,ON,Canada,,,Townhomes,,,,https://www.livabl.com/kitchener-on/lackner-ridge-townhomes,Register Now,Floorplans coming soon bd,,https://www.livabl.com/kitchener-on/lackner-ridge-townhomes
Dunnigan Court,Sandra Springs,Brexon Homes,Kitchener,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/kitchener-on/sandra-springs,"From $1,299,900",4 - 5 bd,2637 - 3087 SqFt,https://www.livabl.com/kitchener-on/sandra-springs
Dunnigan Ct,Sandra Springs,,Kitchener,ON,Canada,,,,,,,https://www.livabl.com/kitchener-on/sandra-springs--mpc,"From $1,299,900",4 - 5 bd,,https://www.livabl.com/kitchener-on/sandra-springs--mpc
624 King Street East,Central Lofts,Elite Developments,Kitchener,ON,Canada,,,Condos & Towns,,,,https://www.livabl.com/kitchener-on/central-lofts,Register Now,Floorplans coming soon bd,,https://www.livabl.com/kitchener-on/central-lofts
615 King Street West,Station Park - Phase 3,VanMar Developments,Kitchener,ON,Canada,,,Condos,,,,https://www.livabl.com/kitchener-on/station-park--phase-3,Register Now,Floorplans coming soon bd,,https://www.livabl.com/kitchener-on/station-park--phase-3
Newcastle Drive & Rockcliffe Drive,Edgewood Urban Towns,Huron Creek Developments,Kitchener,ON,Canada,,,Townhomes,,,,https://www.livabl.com/kitchener-on/edgewood-urban-towns,Register Now,Floorplans coming soon bd,,https://www.livabl.com/kitchener-on/edgewood-urban-towns
20 Queen Street North,Q Condos,Momentum Developments,Kitchener,ON,Canada,,2026,Condos,,2026,,https://www.livabl.com/kitchener-on/q-condos,"From $512,990",1 - 3 bd,452 - 1019 SqFt,https://www.livabl.com/kitchener-on/q-condos
1333 Weber Street East,Elevate Condos - Tower 3,Pamata Hospitality Inc,Kitchener,ON,Canada,,2025,Condos,,2025,,https://www.livabl.com/kitchener-on/elevate-condos--tower-3,"From $469,800",Studio - 2 bd,461 - 901 SqFt,https://www.livabl.com/kitchener-on/elevate-condos--tower-3
155 Washburn Drive,Trussler West,Activa,Kitchener,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/kitchener-on/trussler-west,"From $539,900",2 - 4 bd,1303 - 3313 SqFt,https://www.livabl.com/kitchener-on/trussler-west
1300 Lackner Boulevard,Evergreen at Lackner Ridge,Calibrex Developments and Reid's Heritage Homes,Kitchener,ON,Canada,,,Condos,,,,https://www.livabl.com/kitchener-on/evergreen-at-lackner-ridge,Register Now,Floorplans coming soon bd,,https://www.livabl.com/kitchener-on/evergreen-at-lackner-ridge
11 William Dunlop Street,Williamsburg Green,Heathwood,Kitchener,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/kitchener-on/williamsburg-green,"From $1,195,900",4 bd,2692 - 3526 SqFt,https://www.livabl.com/kitchener-on/williamsburg-green
525 New Dundee Road,The Flats at Rainbow Lake,HIP Developments,Kitchener,ON,Canada,,2023,Condos,,2023,,https://www.livabl.com/kitchener-on/the-flats-at-rainbow-lake,"From $525,800",1 - 2 bd,654 - 1065 SqFt,https://www.livabl.com/kitchener-on/the-flats-at-rainbow-lake
15 Palace Street,Verde Living,JD Development Group and Downing Street Group,Kitchener,ON,Canada,,2025,Condos,,2025,,https://www.livabl.com/kitchener-on/verde-living,"From $541,900",1 - 2 bd,456 - 772 SqFt,https://www.livabl.com/kitchener-on/verde-living
4220 King Street East,Deer Ridge Point,Tricar,Kitchener,ON,Canada,,,Condos,,,,https://www.livabl.com/kitchener-on/deer-ridge-point,Register Now,Floorplans coming soon bd,,https://www.livabl.com/kitchener-on/deer-ridge-point
51 David Street,Otis in the Park,Vive Development and VanMar Constructors Inc.,Kitchener,ON,Canada,,Now,Condos & Towns,,Now,,https://www.livabl.com/kitchener-on/otis-in-the-park,"From $649,900",1 - 2.5 bd,1246 - 1589 SqFt,https://www.livabl.com/kitchener-on/otis-in-the-park
Mill Street & Queen Street South,VIVA Towns,Polocorp Inc.,Kitchener,ON,Canada,,2025,Townhomes,,2025,,https://www.livabl.com/kitchener-on/viva-towns,"From $400,000",1 - 3 bd,500 - 1450 SqFt,https://www.livabl.com/kitchener-on/viva-towns
217 Fallowfield Drive,The Enclave At Jeffrey Place,Ironstone Building Company,Kitchener,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/kitchener-on/the-enclave-at-jeffrey-place,"From $1,299,000",4 bd,2260 - 3130 SqFt,https://www.livabl.com/kitchener-on/the-enclave-at-jeffrey-place
Kitchener,Harvest Park,Activa,ON,,Canada,,2023,Towns & Singles,,2023,,https://www.livabl.com/kitchener-on/harvest-park,"From $459,900",1 - 4 bd,782 - 3636 SqFt,https://www.livabl.com/kitchener-on/harvest-park
641 King Street West,DUO at Station Park,Urban Legend Developments and VanMar Developments,Kitchener,ON,Canada,,2025,Condos,,2025,,https://www.livabl.com/kitchener-on/duo-at-station-park,Register Now,Floorplans coming soon bd,,https://www.livabl.com/kitchener-on/duo-at-station-park
88 Grand Flats Trail,Explorers Walk,New Lifestyle Homes,Kitchener,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/kitchener-on/explorers-walk1,"From $924,900",4 bd,2132 SqFt,https://www.livabl.com/kitchener-on/explorers-walk1
1518 Old Zeller Dr,Explorers Walk,,Kitchener,ON,Canada,,,,,,,https://www.livabl.com/kitchener-on/explorers-walk--mpc,"From $924,900",4 bd,,https://www.livabl.com/kitchener-on/explorers-walk--mpc
3924 Colonel Talbot Road,The Heathwoods,Auburn Homes,London,ON,Canada,,,Condos,,,,https://www.livabl.com/london-on/the-heathwoods1,Register Now,Floorplans coming soon bd,,https://www.livabl.com/london-on/the-heathwoods1
3874 Campbell St N,The Heathwoods at Lambeth,Auburn Homes,London,ON,Canada,,,Community,,,,https://www.livabl.com/london-on/the-heathwoods-at-lambeth--mpc,"From $699,900",Floorplans coming soon bd,,https://www.livabl.com/london-on/the-heathwoods-at-lambeth--mpc
1500 Jackson Road,Jackson Meadows,Ironstone Building Company,London,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/london-on/jackson-meadows,Register Now,Floorplans coming soon bd,,https://www.livabl.com/london-on/jackson-meadows
2624 Jackson Rd,Jackson Meadows,Drewlo Holdings,London,ON,Canada,,,Community,,,,https://www.livabl.com/london-on/jackson-meadows--mpc,,Floorplans coming soon bd,,https://www.livabl.com/london-on/jackson-meadows--mpc
1021 Meadowlark Ridge,Meadowlily,Rembrandt Homes,London,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/london-on/meadowlily,"From $925,800",1 - 4 bd,1527 - 3387 SqFt,https://www.livabl.com/london-on/meadowlily
2090 Tokala Trail,Creekview,McKenzie Homes,London,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/london-on/creekview4,"From $899,900",3 - 5 bd,1868 - 2543 SqFt,https://www.livabl.com/london-on/creekview4
Tokala Trl & Bridgehaven Dr,Creekview Estates,Southside Group,London,ON,Canada,,,Community,,,,https://www.livabl.com/london-on/creekview-estates--mpc,"From $899,900",3 - 5 bd,,https://www.livabl.com/london-on/creekview-estates--mpc
3557 Colonel Talbot Road,Talbot Twenty-Ones,Royal Premier Homes and Timeless Homes,London,ON,Canada,,2024,Townhomes,,2024,,https://www.livabl.com/london-on/talbot-twentyones,"From $699,900",3 - 4 bd,1577 - 2206 SqFt,https://www.livabl.com/london-on/talbot-twentyones
1960 Evans Boulevard,Evans Glen,Ironstone Building Company,London,ON,Canada,,,Townhomes,,,,https://www.livabl.com/london-on/evans-glen,"From $624,900",3 bd,1982 - 2314 SqFt,https://www.livabl.com/london-on/evans-glen
668 Chelton Rd,Summerside Trail,Drewlo Holdings,London,ON,Canada,,,Community,,,,https://www.livabl.com/london-on/summerside-trail--mpc,"From $624,900",3 bd,,https://www.livabl.com/london-on/summerside-trail--mpc
2199 Evans Boulevard,Summerside Trail II,Ironstone Building Company,London,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/london-on/summerside-trail-ii,"From $799,900",3 bd,1618 - 1972 SqFt,https://www.livabl.com/london-on/summerside-trail-ii
2050 Linkway Boulevard,EVE Park,s2e Technologies,London,ON,Canada,,,Condos & Towns,,,,https://www.livabl.com/london-on/eve-park,"From $954,000",2 - 3 bd,1775 - 2229 SqFt,https://www.livabl.com/london-on/eve-park
Oriole Drive & Bennett Cross,Old Victoria on the Thames - Phase 2,Sunlight Heritage Homes,London,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/london-on/old-victoria-on-the-thames--phase-2,"From $839,900",4 bd,1949 - 2209 SqFt,https://www.livabl.com/london-on/old-victoria-on-the-thames--phase-2
Oriole Dr & Bennett Cross,Old Victoria on the Thames,Sunlight Heritage Homes,London,ON,Canada,,,Community,,,,https://www.livabl.com/london-on/old-victoria-on-the-thames--mpc,"From $839,900",4 bd,,https://www.livabl.com/london-on/old-victoria-on-the-thames--mpc
2650 Buroak Drive,Fox Court,Auburn Homes,London,ON,Canada,,Now,Townhomes,,Now,,https://www.livabl.com/london-on/fox-court1,"From $714,900",2 bd,1371 - 1417 SqFt,https://www.livabl.com/london-on/fox-court1
3924 Colonel Talbot Road,Heathwoods of Lambeth,Rockmount Homes Inc.,London,ON,Canada,,2024,Townhomes,,2024,,https://www.livabl.com/london-on/heathwoods-of-lambeth1,"From $699,900",2 - 5 bd,1281 - 1876 SqFt,https://www.livabl.com/london-on/heathwoods-of-lambeth1
236 Edgevalley Road,Shift Townhomes,Ironstone Building Company,London,ON,Canada,,Now,Townhomes,,Now,,https://www.livabl.com/london-on/shift-townhomes1,"From $659,900",3 bd,1746 - 1802 SqFt,https://www.livabl.com/london-on/shift-townhomes1
Edgevalley Rd,Kilally on the Thames,Drewlo Holdings,London,ON,Canada,,,Community,,,,https://www.livabl.com/london-on/kilally-on-the-thames--mpc,"From $659,900",3 bd,,https://www.livabl.com/london-on/kilally-on-the-thames--mpc
674 Chelton Road,Summerside Trail,Ironstone Building Company,London,ON,Canada,,Now,Single Family Homes,,Now,,https://www.livabl.com/london-on/summerside-trail,"From $779,900",2 - 3 bd,1530 - 1654 SqFt,https://www.livabl.com/london-on/summerside-trail
