Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url,Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
368 Briar Hill Avenue,The Briar on Avenue Towns,Plaza,Lytton Park,Ontario,Canada,,2023,Condo,,9 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/02/the-briar-on-avenue-rendering-01-260x260.jpg,"$3,219,000",,2575 to 2714 sq.ft.,https://www.talkcondo.com/toronto/the-briar-on-avenue-towns/,"The Briar on Avenue Towns is a new condominium development by Plaza currently under construction located at 368 Briar Hill Avenue, Toronto in the Lytton Park neighbourhood with a 64/100 walk score and a 80/100 transit score. The Briar on Avenue Towns is designed by Richard Wengle Architect Inc. and will feature interior design by Tara Fingold. Development is scheduled to be completed in 2023. The project is 3 storeys tall and has a total of 7 suites ranging from 2575 sq.ft to 2714 sq.ft. Suites are priced from $3,219,000 to $3,695,000.",Under Construction,Yes,-,Yes,-,Townhouse,"$10,000.00 On Signing || Balance to 5% - 60 days || 5% - 120 days || "
10 Prince Arthur Avenue,10 Prince Arthur Condos,North Drive,The Annex,Ontario,Canada,,2025,Condo,,4 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2020/09/10-prince-arthur-condos-rendering-01-260x260.jpeg,"$3,950,000",,1416 to 5918 sq.ft.,https://www.talkcondo.com/toronto/10-prince-arthur-condos/,"10 Prince Arthur Condos is a new condominium development by North Drive currently under construction located at 10 Prince Arthur Avenue, Toronto in the The Annex neighbourhood with a 97/100 walk score and a 95/100 transit score. 10 Prince Arthur Condos is designed by Richard Wengle Architect Inc. and will feature interior design by Michael London Design Inc. & Gluckstein Design. Development is scheduled to be completed in 2025. The project is 7 storeys tall and has a total of 25 suites ranging from 1416 sq.ft to 5918 sq.ft. Suites are priced from $3,950,000 to $15,000,000.",Under Construction,Yes,Included (2),Yes,Included (1),Condo &Townhouse,"$20,000.00 On Signing || Balance to 5% - 30 days || 5% - 150 days || 5% - 365 days || 5% - Occupancy || "
361 Avenue Road,Charbonnel Towns,Treasure Hill Homes,Summerhill,Ontario,Canada,,,Condo,,4 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/03/charbonnel-towns-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/charbonnel-towns/,"Charbonnel Towns is a new condominium development by Treasure Hill Homes that is now complete located at 361 Avenue Road, Toronto in the Summerhill neighbourhood with a 86/100 walk score and a 84/100 transit score. Charbonnel Towns is designed by Richard Wengle Architect Inc. and will feature interior design by Gluckstein Design. The project is 4 storeys tall and has a total of 19 suites.",Complete,Yes,-,Yes,-,Townhouse,
99 Foxbar Road,The Foxbar at Imperial Village Condos,Camrost-Felcorp,Summerhill,Ontario,Canada,,,Condo,,1 Condo for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2016/06/foxbar-collection-exterior-260x260.jpg,"$4,500,000",,2995 sq.ft.,https://www.talkcondo.com/toronto/the-foxbar-at-imperial-village-condos/,"The Foxbar at Imperial Village Condos is a new condominium development by Camrost-Felcorp that is now complete located at 99 Foxbar Road, Toronto in the Summerhill neighbourhood with a 86/100 walk score and a 89/100 transit score. The Foxbar at Imperial Village Condos is designed by Diamond + Schmitt Architects Inc. and ERA Architects. The project is 28 storeys tall and has a total of 258 suites ranging from 1150 sq.ft to 3160 sq.ft. Suites are priced from $4,500,000 to $4,500,000.",Complete,Yes,Included (2),Yes,-,Condo &Luxury &Townhouse,5% On Signing || 5% - 90 days || 5% - 180 days || 5% - 365 days || 
8 Manor Road West,The Davisville Condos,The Rockport Group,Davisville Village,Ontario,Canada,,2024,Condo,,26 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/06/the-davisville-building-1-260x260.jpg,"$689,900",,487 to 1270 sq.ft.,https://www.talkcondo.com/toronto/the-davisville-condos/,"The Davisville Condos is a new condominium development by The Rockport Group currently under construction located at 8 Manor Road West, Toronto in the Davisville Village neighbourhood with a 95/100 walk score and a 92/100 transit score. The Davisville Condos is designed by RAW Design and will feature interior design by Patton Design Studio. Development is scheduled to be completed in 2024. The project is 12 storeys tall and has a total of 71 suites ranging from 487 sq.ft to 1270 sq.ft. Suites are priced from $689,900 to $1,862,900.",Under Construction,Yes,Included (1),Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 5% - 210 days || 5% - Occupancy || "
346 Davenport Road,346 Davenport Condos,Freed Developments,The Annex,Ontario,Canada,,2023,Condo,,3 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2016/05/346-davenport-condos-exterior-260x260.jpg,"$2,844,900",,1669 to 2112 sq.ft.,https://www.talkcondo.com/toronto/346-davenport-condos/,"346 Davenport Condos is a new condominium development by Freed Developments & Trolleybus Urban Development Inc that is now complete located at 346 Davenport Road, Toronto in the The Annex neighbourhood with a 94/100 walk score and a 94/100 transit score. 346 Davenport Condos is designed by RAW Design and will feature interior design by Burdifilek. Development is scheduled to be completed in 2023. The project is 9 storeys tall and has a total of 30 suites ranging from 1041 sq.ft to 2755 sq.ft. Suites are priced from $2,844,900 to $3,629,900.",Complete,Yes,Included (1),Yes,"$15,000",Condo &Luxury,"$10,000.00 On Signing || Balance to 5% - 30 days || 15% - Occupancy || "
321 Davenport,321 Davenport Condos,Alterra,The Annex,Ontario,Canada,,2026,Condo,,15 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/10/321-davenport-condos-rendering-003-260x260.jpg,"$1,976,990",,1130 to 3482 sq.ft.,https://www.talkcondo.com/toronto/321-davenport-condos/,"321 Davenport Condos is a new condominium development by Alterra currently under construction located at 321 Davenport, Toronto in the The Annex neighbourhood with a 95/100 walk score and a 96/100 transit score. 321 Davenport Condos is designed by Giannone Petricone Associates Inc. and will feature interior design by U31. Development is scheduled to be completed in 2026. The project is 9 storeys tall and has a total of 23 suites ranging from 697 sq.ft to 3620 sq.ft. Suites are priced from $1,976,990 to $6,799,990.",Under Construction,Yes,Included (1),Yes,Included (1),Condo,"$25,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 5% - 370 days || 5% - 610 days || 5% - Occupancy || "
46 Monclova Road,Downsview Towns,Ace Development Ltd,Downsview,Ontario,Canada,,,Condo,,15 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/11/downsview-towns-rendering-01-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/downsview-towns/,"Downsview Towns is a new condominium development by Ace Development Ltd. currently in pre-construction located at 46 Monclova Road, Toronto in the Downsview neighbourhood with a 18/100 walk score and a 58/100 transit score. Downsview Towns is designed by Hunt Design Associates Inc.. Development is scheduled to be completed in 2023. The project is 3 storeys tall and has a total of 10 suites.",Pre-Construction,Yes,-,Yes,-,Townhouse,
8 Cumberland Street,8 Cumberland Condos,Great Gulf Homes,Yorkville,Ontario,Canada,,2023,Condo,,5 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2016/07/8-cumberland-condos-exterior-260x260.jpg,"$1,499,990",,561 to 1326 sq.ft.,https://www.talkcondo.com/toronto/8-cumberland-condos/,"8 Cumberland Condos is a new condominium development by Great Gulf Homes & Phantom Developments & Platinum Vista currently under construction located at 8 Cumberland Street, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 99/100 transit score. 8 Cumberland Condos is designed by architectsAlliance and will feature interior design by Tomas Pearce Interior Design Consulting Inc.. Development is scheduled to be completed in 2023. The project is 51 storeys tall (192.6m, 632.0ft) and has a total of 399 suites ranging from 399 sq.ft to 1845 sq.ft. 8 Cumberland Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $1,499,990 to $3,599,990.",Under Construction,Yes,"$169,990",Yes,Waitlist,Condo &Luxury,"$10,000.00 On Signing || Balance to 5% - 30 days || 2.5% - Jun 15, 2023 || 5% - Occupancy || "
55 Charles Street East,55C Condos,MOD Developments Inc,Church & Wellesley,Ontario,Canada,,2024,Condo,,15 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/03/55c-condos-rendering-004-260x260.jpeg,"$1,012,900",,335 to 1006 sq.ft.,https://www.talkcondo.com/toronto/55c-condos/,"55C Condos is a new condominium development by MOD Developments Inc. currently under construction located at 55 Charles Street East, Toronto in the Church & Wellesley neighbourhood with a 99/100 walk score and a 97/100 transit score. 55C Condos is designed by architectsAlliance and will feature interior design by Cecconi Simone. Development is scheduled to be completed in 2024. The project is 50 storeys tall and has a total of 565 suites ranging from 335 sq.ft to 1684 sq.ft. Suites are priced from $1,012,900 to $2,170,900.",Under Construction,Yes,"$125,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Feb 15, 2024 || "
2306 Saint Clair Avenue West,Stockyards District Residences,Greybrook Realty Partners,Rockcliffe-Smythe,Ontario,Canada,,2022,Condo,,6 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/08/stockyards-district-residences-rendering-1-260x260.jpg,"$1,099,990",,1122 to 1533 sq.ft.,https://www.talkcondo.com/toronto/stockyards-district-residences/,"Stockyards District Residences is a new condominium development by Greybrook Realty Partners & Marlin Spring Developments that is now complete located at 2306 Saint Clair Avenue West, Toronto in the Rockcliffe-Smythe neighbourhood with a 73/100 walk score and a 82/100 transit score. Stockyards District Residences is designed by Graziani + Corazza Architects Inc. and will feature interior design by U31. Development is scheduled to be completed in 2022. The project is 10 storeys tall and has a total of 242 suites ranging from 408 sq.ft to 1533 sq.ft. Suites are priced from $1,099,990 to $1,504,990.",Complete,Yes,"$60,000",Yes,Included (1),Condo,5% On Signing || 
1414 Bayview Avenue,1414 Bayview Condos,Gairloch,Davisville Village,Ontario,Canada,,2024,Condo,,9 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/02/1414-bayview-exterior-rendering-01-260x260.jpg,"$1,298,000",,839 to 2125 sq.ft.,https://www.talkcondo.com/toronto/1414-bayview-condos/,"1414 Bayview Condos is a new condominium development by Gairloch currently under construction located at 1414 Bayview Avenue, Toronto in the Davisville Village neighbourhood with a 82/100 walk score and a 61/100 transit score. 1414 Bayview Condos is designed by architectsAlliance and will feature interior design by Sixteen Degree Studio Inc.. Development is scheduled to be completed in 2024. The project is 8 storeys tall and has a total of 44 suites ranging from 507 sq.ft to 2125 sq.ft. Suites are priced from $1,298,000 to $4,980,000.",Under Construction,Yes,"Included (1)
Additional Parking $78,000",Yes,"$7,500",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 180 days || 5% - 365 days || "
1808 Saint Clair Avenue West,Reunion Crossing Condos & Urban Towns,Diamondcorp,Corso Italia-Earlscourt,Ontario,Canada,,2023,Condo,,1 Condo for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/05/reunion-crossing-condos-and-urban-towns-rendering-001-260x260.jpg,"$953,900",,983 sq.ft.,https://www.talkcondo.com/toronto/reunion-crossing-condos-and-urban-towns/,"Reunion Crossing Condos & Urban Towns is a new condominium development by Diamondcorp & Dundee Kilmer Developments Limited that is now complete located at  1808 Saint Clair Avenue West, Toronto in the Corso Italia-Earlscourt neighbourhood with a 93/100 walk score and a 81/100 transit score. Reunion Crossing Condos & Urban Towns is designed by Giannone Petricone Associates Inc. and will feature interior design by Patton Design Studio. Development is scheduled to be completed in 2023. The project is 11 storeys tall and has a total of 345 suites ranging from 435 sq.ft to 1318 sq.ft. Suites are priced from $953,900 to $953,900.",Complete,Yes,"$45,000",Yes,Included (1),Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - Occupancy || "
19 Hollywood Avenue,Pearl Place Condos,The Conservatory Group,Willowdale,Ontario,Canada,,2024,Condo,,3 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2014/09/pearl-place-condos-02-260x260.jpg,"$1,139,900",,816 to 926 sq.ft.,https://www.talkcondo.com/toronto/pearl-place-condos/,"Pearl Place Condos is a new condominium development by The Conservatory Group currently under construction located at 19 Hollywood Avenue, Toronto in the Willowdale neighbourhood with a 97/100 walk score and a 94/100 transit score. Pearl Place Condos is designed by Zeidler Architecture. Development is scheduled to be completed in 2024. The project is 34 storeys tall and has a total of 478 suites ranging from 482 sq.ft to 1049 sq.ft. Suites are priced from $1,139,900 to $1,321,900.",Under Construction,Yes,"$65,000",Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 2.5% - 90 days || 2.5% - 180 days || 10% - Occupancy || "
133 Vaughan Road,Groove Urban Condos,Block Developments,Hillcrest Village St Clair-Humewood,Ontario,Canada,,2024,Condo,,11 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/02/groove-urban-condos-rendering-01-260x260.jpg,"$781,990",,416 to 1200 sq.ft.,https://www.talkcondo.com/toronto/groove-urban-condos/,"Groove Urban Condos is a new condominium development by Block Developments currently in pre-construction located at 133 Vaughan Road, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 86/100 walk score and a 85/100 transit score. Groove Urban Condos is designed by RAW Design and will feature interior design by Tomas Pearce Interior Design Consulting Inc.. Development is scheduled to be completed in 2024. The project is 15 storeys tall and has a total of 152 suites ranging from 416 sq.ft to 1200 sq.ft. Suites are priced from $781,990 to $1,669,990.",Pre-Construction,Yes,"$84,990",Yes,"$9,990",Condo,"$5,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 90 days || 2.5% - 150 days || 2.5% - 210 days || 2.5% - 540 days || 2.5% - 720 days || 5% - Occupancy || "
63 Montclair Avenue,South Forest Hill Residences,Parallax Development Corporation,Forest Hill,Ontario,Canada,,2026,Condo,,1 Condo for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/06/south-forest-hill-residences-dusk-hero-260x260.jpg,"$921,990",,550 sq.ft.,https://www.talkcondo.com/toronto/south-forest-hill-residences/,"South Forest Hill Residences is a new condominium development by Parallax Development Corporation & Westdale Properties currently in pre-construction located at 63 Montclair Avenue, Toronto in the Forest Hill neighbourhood with a 84/100 walk score and a 82/100 transit score. South Forest Hill Residences is designed by IBI Group and will feature interior design by Figure3. Development is scheduled to be completed in 2026. The project is 19 storeys tall and has a total of 417 suites ranging from 416 sq.ft to 1416 sq.ft. Suites are priced from $921,990 to $921,990.",Pre-Construction,Yes,"$129,000",Yes,Waitlist,Condo &Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Oct 15, 2023 || 2.5% - 540 days || 2.5% - 720 days || 5% - Occupancy || "
840 Dupont Street,The Dupont Condos,Tridel,Davenport-Wychwood,Ontario,Canada,,2025,Condo,,5 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/03/the-dupont-01-260x260.jpg,"$1,140,000",,812 to 1109 sq.ft.,https://www.talkcondo.com/toronto/the-dupont-condos/,"The Dupont Condos is a new condominium development by Tridel currently under construction located at 840 Dupont Street, Toronto in the Davenport-Wychwood neighbourhood with a 70/100 walk score and a 81/100 transit score. The Dupont Condos is designed by Turner Fleischer Architects and will feature interior design by U31. Development is scheduled to be completed in 2025. The project is 9 storeys tall and has a total of 349 suites ranging from 532 sq.ft to 1288 sq.ft. Suites are priced from $1,140,000 to $1,620,000.",Under Construction,Yes,"$69,000",Yes,-,Condo,5% On Signing || 5% - 120 days || 5% - 365 days || 5% - 450 days || 
1 Delisle Avenue,One Delisle Condos,Slate Asset Management,Deer Park,Ontario,Canada,,2026,Condo,,11 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/02/one-delisle-rendering-01-260x260.jpeg,"$1,396,900",,557 to 3171 sq.ft.,https://www.talkcondo.com/toronto/one-delisle-condos/,"One Delisle Condos is a new condominium development by Slate Asset Management currently under construction located at 1 Delisle Avenue, Toronto in the Deer Park neighbourhood with a 93/100 walk score and a 88/100 transit score. One Delisle Condos is designed by WZMH Architects , ERA Architects and Studio Gang Architects and will feature interior design by Mason Studio and Studio Gang Architects. Development is scheduled to be completed in 2026. The project is 44 storeys tall and has a total of 371 suites ranging from 328 sq.ft to 3171 sq.ft. Suites are priced from $1,396,900 to $11,959,900.",Under Construction,Yes,"$180,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 2.5% - 720 days || 2.5% - 1095 days || 5% - Occupancy || "
19 Hollywood Avenue,Pearl Place 2 Condos,The Conservatory Group,Willowdale,Ontario,Canada,,2022,Condo,,18 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,"$519,900",,482 to 926 sq.ft.,https://www.talkcondo.com/toronto/pearl-place-2-condos/,"Pearl Place 2 Condos is a new condominium development by The Conservatory Group currently in pre-construction located at 19 Hollywood Avenue, Toronto in the Willowdale neighbourhood with a 97/100 walk score and a 92/100 transit score. Pearl Place 2 Condos is designed by Zeidler Architecture. Development is scheduled to be completed in 2022. The project is 34 storeys tall and has a total of 478 suites ranging from 482 sq.ft to 926 sq.ft. Suites are priced from $519,900 to $1,079,900.",Pre-Construction,Yes,"$65,000",Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 5% - 270 days || 5% - 540 days || "
2114 Yonge Street,UOVO Boutique Residences,The Sher Corporation,Chaplin Estates,Ontario,Canada,,2023,Condo,,11 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/01/uovo-boutique-residences-rendering-2-260x260.jpg,"$989,900",,781 to 2009 sq.ft.,https://www.talkcondo.com/toronto/uovo-boutique-residences/,"UOVO Boutique Residences is a new condominium development by The Sher Corporation currently under construction located at 2114 Yonge Street, Toronto in the Chaplin Estates neighbourhood with a 98/100 walk score and a 95/100 transit score. UOVO Boutique Residences is designed by RAW Design and will feature interior design by EsQape Design Inc.. Development is scheduled to be completed in 2023. The project is 12 storeys tall and has a total of 70 suites ranging from 626 sq.ft to 2009 sq.ft. Suites are priced from $989,900 to $3,299,900.",Under Construction,Yes,"$90,000",Yes,"$7,500",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 270 days || "
501 St Clair Avenue West,Rise Condos,Reserve Properties,Casa Loma,Ontario,Canada,,2018,Condo,,6 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2014/09/rise-condos-05-260x260.jpg,"$699,900",,608 to 743 sq.ft.,https://www.talkcondo.com/toronto/rise-condos/,"Rise Condos is a new condominium development by Reserve Properties that is now complete located at 501 St Clair Avenue West, Toronto in the Casa Loma neighbourhood with a 93/100 walk score and a 90/100 transit score. Rise Condos is designed by Graziani + Corazza Architects Inc. and will feature interior design by II BY IV DESIGN. Development is scheduled to be completed in 2018. The project is 21 storeys tall (75.3m, 247.0ft) and has a total of 283 suites ranging from 280 sq.ft to 865 sq.ft. Rise Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $699,900 to $824,900.",Complete,Yes,Included (1),Yes,"$10,000",Condo,"$5,000.00 On Signing || Balance to 5% - 10 days || 10% - Occupancy || "
859 Eglinton Avenue West,The Forest Hill Condos,CentreCourt,Cedarvale-Oakwood Vaughan,Ontario,Canada,,2023,Condo,,1 Condo for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/09/the-forest-hill-condos-rendering-001-260x260.jpeg,"$690,000",,398 sq.ft.,https://www.talkcondo.com/toronto/the-forest-hill-condos/,"The Forest Hill Condos is a new condominium development by CentreCourt currently under construction located at 859 Eglinton Avenue West, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 93/100 walk score and a 80/100 transit score. The Forest Hill Condos is designed by BDP Quadrangle and will feature interior design by Figure3. Development is scheduled to be completed in 2023. The project is 14 storeys tall and has a total of 350 suites ranging from 355 sq.ft to 1181 sq.ft. Suites are priced from $690,000 to $690,000.",Under Construction,Yes,"$110,000",Yes,"$10,000",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || "
2175 Keele Street,Daniels FirstHome™ Keelesdale Phase 3,Diamondcorp,Silverthorn,Ontario,Canada,,2024,Condo,,11 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/05/daniels-firsthome-keelesdale-phase-3-rendering-01-260x260.jpg,"$584,900",,518 to 1143 sq.ft.,https://www.talkcondo.com/toronto/daniels-firsthome-keelesdale-phase-3/,"Daniels FirstHome™ Keelesdale Phase 3 is a new condominium development by Diamondcorp & Kilmer Group & The Daniels Corporation currently under construction located at 2175 Keele Street, Toronto in the Silverthorn neighbourhood with a 51/100 walk score and a 65/100 transit score. Daniels FirstHome™ Keelesdale Phase 3 is designed by Graziani + Corazza Architects Inc.. Development is scheduled to be completed in 2024.  ranging from 504 sq.ft to 1349 sq.ft. Suites are priced from $584,900 to $1,017,900.",Under Construction,Yes,"$58,800",Yes,"$5,000",Condo &Townhouse,"$7,500.00 On Signing || Balance to 5% - 30 days || 2.5% - 180 days || 2.5% - Occupancy || "
1 Bloor Street West,The One Condos,Mizrahi Developments,Yorkville,Ontario,Canada,,2024,Condo,,20 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/09/the-one-condos-rendering-2-260x260.jpg,"$3,697,888",,1352 to 6037 sq.ft.,https://www.talkcondo.com/toronto/the-one-condos/,"The One Condos is a new condominium development by Mizrahi Developments currently under construction located at 1 Bloor Street West, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 100/100 transit score. The One Condos is designed by Foster + Partners & CORE Architects. Development is scheduled to be completed in 2024. The project is 85 storeys tall (328.6m, 1078.0ft) and has a total of 416 suites ranging from 591 sq.ft to 6037 sq.ft. The One Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $3,697,888 to $31,620,888.",Under Construction,Yes,-,Yes,-,Condo &Luxury,"$20,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 180 days || 5% - 360 days || 5% - Occupancy || "
Ranee Avenue,The Yorkdale Towns – On The Park,Context,Lawrence Manor,Ontario,Canada,,,Condo,,20 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/07/the-yorkdale-towns-on-the-park-rendering-2-260x260.jpg,"$949,000",,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/the-yorkdale-towns-on-the-park/,"The Yorkdale Towns – On The Park is a new condominium development by Context & Metropia Urban Landscapes currently in pre-construction located at Ranee Avenue, Toronto in the Lawrence Manor neighbourhood with a 68/100 walk score and a 92/100 transit score. The Yorkdale Towns – On The Park is designed by TACT Architecture Inc. and will feature interior design by TACT Design. The project has a total of 54 suites.",Pre-Construction,Yes,-,Yes,-,Townhouse,
2480 Yonge Street,Vita on the Lake Condos,Biddington Homes,Lytton Park,Ontario,Canada,,2022,Condo,,1 Condo for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2016/06/vita-on-the-lake-condos-exterior-260x260.jpg,"$1,539,990",,1211 sq.ft.,https://www.talkcondo.com/toronto/vita-on-the-lake-condos/,"Vita on the Lake Condos is a new condominium development by Biddington Homes & Mattamy Homes currently under construction located at 2480 Yonge Street, Toronto in the Lytton Park neighbourhood with a 59/100 walk score and a 65/100 transit score. Vita on the Lake Condos is designed by Graziani + Corazza Architects Inc. and will feature interior design by U31. Development is scheduled to be completed in 2022. The project is 53 storeys tall (167.0m, 547.9ft) and has a total of 489 suites ranging from 524 sq.ft to 1746 sq.ft. Vita on the Lake Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $1,539,990 to $1,539,990.",Under Construction,Yes,Included (1),Yes,Included (1),Condo &Luxury,"5% On Signing || 5% - Jan 17, 2022 || 5% - Occupancy || "
700 Sheppard Avenue West,Westmount Boutique Residences,Quadcam Development Group Incorporate,Bathurst Manor,Ontario,Canada,,2026,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/06/westmount-boutique-residences-rendering-260x260.jpg,"$759,880",,530 to 1114 sq.ft.,https://www.talkcondo.com/toronto/westmount-boutique-residences/,"Westmount Boutique Residences is a new condominium development by Quadcam Development Group Incorporated currently under construction located at 700 Sheppard Avenue West, Toronto in the Bathurst Manor neighbourhood with a 71/100 walk score and a 69/100 transit score. Westmount Boutique Residences is designed by KFA Architects and Planners. Development is scheduled to be completed in 2026. The project is 10 storeys tall and has a total of 134 suites ranging from 530 sq.ft to 1114 sq.ft. Suites are priced from $759,880 to $1,570,880.",Under Construction,Yes,"$52,000",Yes,"$9,000",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 120 days || 2.5% - 365 days || 2.5% - 540 days || 2.5% - 650 days || 3% - 760 days || 2% - Occupancy || "
410 Keele Street,Junction Square Condos,Block Developments,The Junction,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2021/12/junction-square-condos-rendering-01-260x260.jpg,"$600,000",,402 sq.ft.,https://www.talkcondo.com/toronto/junction-square-condos/,"Junction Square Condos is a new condominium development by Block Developments currently in pre-construction located at 410 Keele Street, Toronto in the The Junction neighbourhood with a 93/100 walk score and a 76/100 transit score. Junction Square Condos is designed by RAW Design and ERA Architects and will feature interior design by Author. The project is 5 storeys tall and has a total of 65 suites ranging from 430 sq.ft to 1289 sq.ft.",Pre-Construction,Yes,"$85,990",Yes,-,Condo,"$5,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 90 days || 2.5% - 180 days || 2.5% - 270 days || 2.5% - 540 days || 2.5% - 720 days || 5% - Occupancy || "
808 Mount Pleasant Road,808 Mount Pleasant Road Condos,Streetwise Capital Partners,Yonge & Eglinton,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2017/11/808-mount-pleasant-road-condos-rendering-260x260.jpg,,,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/808-mount-pleasant-road-condos/,"808 Mount Pleasant Road Condos is a new condominium development by Streetwise Capital Partners currently in pre-construction located at 808 Mount Pleasant Road, Toronto in the Yonge & Eglinton neighbourhood with a 96/100 walk score and a 90/100 transit score. 808 Mount Pleasant Road Condos is designed by Sweeny & Co.. The project is 35 storeys tall and has a total of 514 suites. 808 Mount Pleasant Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
2686 Bayview Avenue,2686 Bayview Avenue Towns,Forest Heights Development,York Mills-Denlow,Ontario,Canada,,,Condo,,14 Condos for Sale,,https://www.talkcondo.com/wp-content/themes/talkcondo/assets/images/gallery-placeholder-square.jpg,,,700 sq.ft.,https://www.talkcondo.com/toronto/2686-bayview-avenue-towns/,"2686 Bayview Avenue Towns is a new condominium development by Forest Heights Development currently in pre-construction located at 2686 Bayview Avenue, Toronto in the York Mills-Denlow neighbourhood with a 48/100 walk score and a 67/100 transit score. 2686 Bayview Avenue Towns is designed by MO+Design Studio. The project is 3 storeys tall and has a total of 11 suites. 2686 Bayview Avenue Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Single Family Home &Townhouse,
